canton_key,prefecture_key,prefecture,region,canton,commune,agents_mm,etab_financiers,banques,lat,lon,profil
AGOE-NYIVE | ADETIKOPE,AGOE-NYIVE,Agoè-Nyivé,Grand Lomé,Adétikopé,Agoè-Nyivé 6,297,7,1,6.321852676964646,1.2197758269372723,Mobile money + établissements
AGOE-NYIVE | AGOE-NYIVE,AGOE-NYIVE,Agoè-Nyivé,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 1,446,33,5,6.2339668521775575,1.1880185895995943,Mobile money + établissements
AGOE-NYIVE | LEGBASSITO,AGOE-NYIVE,Agoè-Nyivé,Grand Lomé,Légbassito,Agoè-Nyivé 2,37,6,0,6.262832965778632,1.1487063440809673,Mobile money + établissements
AGOE-NYIVE | SANGUERA,AGOE-NYIVE,Agoè-Nyivé,Grand Lomé,Sanguera,Agoè-Nyivé 5,97,5,0,6.233193421237832,1.1332741556100412,Mobile money + établissements
AGOE-NYIVE | TOGBLEKOPE,AGOE-NYIVE,Agoè-Nyivé,Grand Lomé,Togblekope,Agoè-Nyivé 4,258,4,2,6.265130054856654,1.2139972465886402,Mobile money + établissements
AGOE-NYIVE | VAKPOSSITO,AGOE-NYIVE,Agoè-Nyivé,Grand Lomé,Vakpossito,Agoè-Nyivé 3,263,7,1,6.217797316596269,1.1664325790177583,Mobile money + établissements
AGOU | AGOTIME-NORD,AGOU,Agou,Plateaux,Agotimé-Nord,Agou 2,4,0,0,6.718001755911722,0.6633927257744908,Mobile money uniquement
AGOU | AGOTIME-SUD (ADZAKPA),AGOU,Agou,Plateaux,Agotimé-Sud (Adzakpa),Agou 2,1,0,0,6.64028433703796,0.8146708397654356,Mobile money uniquement
AGOU | AGOU-AKPLOLO,AGOU,Agou,Plateaux,Agou-Akplolo,Agou 1,12,0,0,6.889409266858649,0.7708994794340739,Mobile money uniquement
AGOU | AGOU-ATIGBE,AGOU,Agou,Plateaux,Agou-Atigbé,Agou 1,1,0,0,6.8235121119449476,0.7072763605241267,Mobile money uniquement
AGOU | AGOU-IBOE,AGOU,Agou,Plateaux,Agou-Iboé,Agou 1,2,0,0,6.870784295719874,0.7845158304157358,Mobile money uniquement
AGOU | AGOU-KEBO,AGOU,Agou,Plateaux,Agou-Kébo,Agou 1,2,0,0,6.86090187049933,0.7461921704526263,Mobile money uniquement
AGOU | AGOU-NYOGBO-AGBETIKO,AGOU,Agou,Plateaux,Agou-Nyogbo-Agbétiko,Agou 1,23,0,0,6.898455425955884,0.7311627133051495,Mobile money uniquement
AGOU | AGOU-NYOGBO-DZIDJOLE,AGOU,Agou,Plateaux,Agou-Nyogbo-Dzidjole,Agou 1,17,0,0,6.878619252705318,0.7239543381600828,Mobile money uniquement
AGOU | AGOU-TAVIE,AGOU,Agou,Plateaux,Agou-Tavié,Agou 1,47,3,1,6.843756433561565,0.712703882135615,Mobile money + établissements
AGOU | AMOUSSOU-KOPE,AGOU,Agou,Plateaux,Amoussou-Kopé,Agou 2,45,0,0,6.67895839615859,0.8423259021828923,Mobile money uniquement
AGOU | ASSAHOUN-FIAGBE,AGOU,Agou,Plateaux,Assahoun-Fiagbé,Agou 1,1,0,0,6.795067806406557,0.7052592085053658,Mobile money uniquement
AGOU | GADJA,AGOU,Agou,Plateaux,Gadja,Agou 1,57,2,0,6.805310536114453,0.7974648417602371,Mobile money + établissements
AGOU | KATI,AGOU,Agou,Plateaux,Kati,Agou 1,12,1,0,6.890494189061301,0.8488771497263392,Mobile money + établissements
AKEBOU | DJON,AKEBOU,Akébou,Plateaux,Djon,Akébou 1,8,0,0,7.735931571436469,0.7889174339995884,Mobile money uniquement
AKEBOU | GBENDE,AKEBOU,Akébou,Plateaux,Gbendè,Akébou 1,2,0,0,7.73536,0.6772116666666667,Mobile money uniquement
AKEBOU | KAMINA-AKEBOU,AKEBOU,Akébou,Plateaux,Kamina-Akébou,Akébou 2,17,0,0,7.92436021410028,0.8560371149493526,Mobile money uniquement
AKEBOU | KOUGNOHOU,AKEBOU,Akébou,Plateaux,Kougnohou,Akébou 1,43,1,0,7.654095474016097,0.7897406625913477,Mobile money + établissements
AKEBOU | KPALAVE,AKEBOU,Akébou,Plateaux,Kpalavé,Akébou 2,2,0,0,7.851515833333332,0.8525366666666667,Mobile money uniquement
AKEBOU | SEREGBENE,AKEBOU,Akébou,Plateaux,Sérégbénè,Akébou 2,5,0,0,7.845137333333332,0.7482343333333333,Mobile money uniquement
AKEBOU | VEH,AKEBOU,Akébou,Plateaux,Veh,Akébou 1,4,0,0,7.664057925723699,0.7137768391412953,Mobile money uniquement
AKEBOU | YALLA,AKEBOU,Akébou,Plateaux,Yalla,Akébou 1,6,0,0,7.814819444444445,0.6742480555555556,Mobile money uniquement
