commune_key,commune,prefecture_key,prefecture,region,population,agents_mm,etab_financiers,banques,microfinances,hab_par_etab_financier,hab_par_agent_mm,agents_mm_par_1000_hab,mm_uniquement,lat,lon
BLITTA 1,Blitta 1,BLITTA,Blitta,Centrale,71539.0,75,8,3,5,8942.0,954.0,1.05,False,8.275275593632092,1.0335386564143139
BLITTA 2,Blitta 2,BLITTA,Blitta,Centrale,46515.0,9,2,0,2,23258.0,5168.0,0.19,False,8.135765415401611,1.084259553550396
BLITTA 3,Blitta 3,BLITTA,Blitta,Centrale,45218.0,6,0,0,0,,7536.0,0.13,True,8.135505281328067,0.8065363402030351
MO 1,Mô 1,MO,Mô,Centrale,30522.0,25,1,0,1,30522.0,1221.0,0.82,False,8.7675412,0.6312715333333333
MO 2,Mô 2,MO,Mô,Centrale,21926.0,7,1,0,1,21926.0,3132.0,0.32,False,8.63443619047619,0.4610407142857143
SOTOUBOUA 1,Sotouboua 1,SOTOUBOUA,Sotouboua,Centrale,46907.0,151,11,4,7,4264.0,311.0,3.22,False,8.561088841267054,0.9874605931576149
SOTOUBOUA 2,Sotouboua 2,SOTOUBOUA,Sotouboua,Centrale,64187.0,107,4,1,3,16047.0,600.0,1.67,False,8.672861780839307,1.0449831721313172
SOTOUBOUA 3,Sotouboua 3,SOTOUBOUA,Sotouboua,Centrale,27770.0,97,3,0,3,9257.0,286.0,3.49,False,8.429838969682194,1.002853752943982
TCHAMBA 1,Tchamba 1,TCHAMBA,Tchamba,Centrale,82451.0,52,6,1,5,13742.0,1586.0,0.63,False,9.03321580128205,1.4334782692307693
TCHAMBA 2,Tchamba 2,TCHAMBA,Tchamba,Centrale,64930.0,85,1,0,1,64930.0,764.0,1.31,False,8.682923714965439,1.435167565741858
TCHAMBA 3,Tchamba 3,TCHAMBA,Tchamba,Centrale,53204.0,68,5,0,5,10641.0,782.0,1.28,False,8.722859035847174,1.567371673906708
TCHAOUDJO 1,Tchaoudjo 1,TCHAOUDJO,Tchaoudjo,Centrale,177706.0,1268,20,11,9,8885.0,140.0,7.14,False,8.983462403496958,1.1479788512630404
TCHAOUDJO 2,Tchaoudjo 2,TCHAOUDJO,Tchaoudjo,Centrale,24891.0,45,0,0,0,,553.0,1.81,True,8.85347750774746,1.0792142311449526
