FID,region,prefecture,commune,canton,localite,nom,categorie,statut,actif,prefecture_key,commune_key,canton_key,lon,lat
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447e,Grand Lomé,Golfe,Golfe 5,Aflao-Gakli,Amadahome,BTCI Amadahome,Banque,Non renseigné,False,GOLFE,GOLFE 5,GOLFE | AFLAO-GAKLI,1.1654270638510162,6.203541360604255
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447d,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Awassi Onorio,FUCEC Togo Afagnan,Micro-Finance,En activité,True,BAS-MONO,BAS-MONO 1,BAS-MONO | AFAGNANGAN,1.6271233333333333,6.4957666666666665
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447c,Maritime,Zio,Zio 1,Abobo,Djagble,Mutuelle Dignite Humaine,Mutuelle,En activité,True,ZIO,ZIO 1,ZIO | ABOBO,1.287165,6.2662249999999995
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447b,Maritime,Zio,Zio 1,Abobo,Ablota,Mutuelle Le Roc,Mutuelle,En activité,True,ZIO,ZIO 1,ZIO | ABOBO,1.3728760724747087,6.239534103539881
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447a,Grand Lomé,Golfe,Golfe 5,Aflao-Gakli,Adidogome,FUCEC-Togo,Micro-Finance,En activité,True,GOLFE,GOLFE 5,GOLFE | AFLAO-GAKLI,1.1690136321572586,6.183478641263159
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4479,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidoadin,CIF Assurance-vie,Assurance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE | AGOE-NYIVE,1.1895305475058346,6.206187504803494
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4478,Grand Lomé,Golfe,Golfe 6,Baguida,BAGUIDA,BTCI Baguida,Banque,En activité,True,GOLFE,GOLFE 6,GOLFE | BAGUIDA,1.3381952574322604,6.167495664668762
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4477,Grand Lomé,Golfe,Golfe 5,Aflao-Gakli,Totsi,Microfinance Millenium Totsi,Micro-Finance,En activité,True,GOLFE,GOLFE 5,GOLFE | AFLAO-GAKLI,1.1866806869108153,6.197077790836492
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4476,Grand Lomé,Golfe,Golfe 5,Aflao-Gakli,Agbalepedogan,BTCI Agbalepedogan,Banque,Non renseigné,False,GOLFE,GOLFE 5,GOLFE | AFLAO-GAKLI,1.2007360347995675,6.197624349044445
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4475,Maritime,Zio,Zio 1,Djagblé,Djagble,COOPAD Djagblé,Micro-Finance,En activité,True,ZIO,ZIO 1,ZIO | DJAGBLE,1.282792090426032,6.254119620863774
