prefecture_key,prefecture,region,population,agents_mm,banques,microfinances,assurances,mutuelles,etab_financiers,guichets,hab_par_etab_financier,hab_par_banque,hab_par_agent_mm,agents_mm_par_1000_hab,agents_mm_par_guichet,part_population,part_agents_mm,part_etab_financiers,sans_banque,sans_etab_financier,cantons_total,cantons_mm_uniquement,agents_mm_en_zone_mm_uniquement,part_cantons_mm_uniquement,map_key
BLITTA,Blitta,Centrale,163272,90,3,7,0,0,10,10,16327.0,54424.0,1814.0,0.55,9.0,2.02,0.45,1.52,False,False,11,8,60,72.7,BLITTA
MO,Mô,Centrale,52448,32,0,2,0,0,2,2,26224.0,,1639.0,0.61,16.0,0.65,0.16,0.3,True,False,5,3,13,60.0,MO
SOTOUBOUA,Sotouboua,Centrale,138864,355,5,13,0,0,18,18,7715.0,27773.0,391.0,2.56,19.7,1.72,1.79,2.73,False,False,10,7,76,70.0,SOTOUBOUA
TCHAMBA,Tchamba,Centrale,200585,205,1,11,0,0,12,12,16715.0,200585.0,978.0,1.02,17.1,2.48,1.04,1.82,False,False,10,7,84,70.0,TCHAMBA
TCHAOUDJO,Tchaoudjo,Centrale,240360,1411,11,9,0,0,20,20,12018.0,21851.0,170.0,5.87,70.6,2.97,7.13,3.03,False,False,13,11,288,84.6,TCHAOUDJO
AGOE-NYIVE,Agoè-Nyivé,Grand Lomé,882695,1398,9,44,8,1,62,53,14237.0,98077.0,631.0,1.58,26.4,10.9,7.06,9.39,False,False,6,0,0,0.0,GOLFE
GOLFE,Golfe,Grand Lomé,1305681,5121,79,78,44,3,204,157,6400.0,16528.0,255.0,3.92,32.6,16.13,25.88,30.91,False,False,7,0,0,0.0,GOLFE
ASSOLI,Assoli,Kara,66394,228,2,5,0,0,7,7,9485.0,33197.0,291.0,3.43,32.6,0.82,1.15,1.06,False,False,6,5,75,83.3,ASSOLI
BASSAR,Bassar,Kara,152065,436,6,7,1,0,14,13,10862.0,25344.0,349.0,2.87,33.5,1.88,2.2,2.12,False,False,10,7,69,70.0,BASSAR
BINAH,Binah,Kara,84199,212,4,5,0,0,9,9,9355.0,21050.0,397.0,2.52,23.6,1.04,1.07,1.36,False,False,9,7,66,77.8,BINAH
DANKPEN,Dankpen,Kara,185662,190,2,4,0,0,6,6,30944.0,92831.0,977.0,1.02,31.7,2.29,0.96,0.91,False,False,12,11,94,91.7,DANKPEN
DOUFELGOU,Doufelgou,Kara,84767,184,2,8,0,0,10,10,8477.0,42384.0,461.0,2.17,18.4,1.05,0.93,1.52,False,False,12,8,52,66.7,DOUFELGOU
KOZAH,Kozah,Kara,283738,1562,15,5,6,0,26,20,10913.0,18916.0,182.0,5.51,78.1,3.5,7.89,3.94,False,False,15,13,265,86.7,KOZAH
KERAN,Kéran,Kara,128687,139,4,3,0,0,7,7,18384.0,32172.0,926.0,1.08,19.9,1.59,0.7,1.06,False,False,8,7,62,87.5,KERAN
AVE,Avé,Maritime,111214,128,3,10,0,0,13,13,8555.0,37071.0,869.0,1.15,9.8,1.37,0.65,1.97,False,False,9,3,23,33.3,AVE
BAS-MONO,Bas-Mono,Maritime,94860,183,0,3,0,1,4,3,23715.0,,518.0,1.93,61.0,1.17,0.92,0.61,True,False,7,4,30,57.1,BAS-MONO
LACS,Lacs,Maritime,241247,741,7,11,0,0,18,18,13403.0,34464.0,326.0,3.07,41.2,2.98,3.74,2.73,False,False,10,4,83,40.0,LACS
VO,Vo,Maritime,224411,476,5,12,0,0,17,17,13201.0,44882.0,471.0,2.12,28.0,2.77,2.41,2.58,False,False,10,5,100,50.0,VO
YOTO,Yoto,Maritime,174851,160,6,13,0,0,19,19,9203.0,29142.0,1093.0,0.92,8.4,2.16,0.81,2.88,False,False,12,6,23,50.0,YOTO
ZIO,Zio,Maritime,500032,779,5,19,0,3,27,24,18520.0,100006.0,642.0,1.56,32.5,6.18,3.94,4.09,False,False,16,6,217,37.5,ZIO
AGOU,Agou,Plateaux,85793,224,1,5,0,0,6,6,14299.0,85793.0,383.0,2.61,37.3,1.06,1.13,0.91,False,False,13,10,108,76.9,AGOU
