famille,indicateur,indicateur_clean,operateur,unit,annee,value
Internet,T abonnés Internet Fixe et Mobile (Toutes technologies),Abonnés Internet (toutes technologies),,Nombre,2013,348192.0
Internet,T abonnés Internet Fixe et Mobile (Toutes technologies),Abonnés Internet (toutes technologies),,Nombre,2014,609095.0
Internet,T abonnés Internet Fixe et Mobile (Toutes technologies),Abonnés Internet (toutes technologies),,Nombre,2015,902748.0
Internet,T abonnés Internet Fixe et Mobile (Toutes technologies),Abonnés Internet (toutes technologies),,Nombre,2016,1570153.0
Internet,T abonnés Internet Fixe et Mobile (Toutes technologies),Abonnés Internet (toutes technologies),,Nombre,2017,2655799.0
Internet,T abonnés Internet Fixe et Mobile (Toutes technologies),Abonnés Internet (toutes technologies),,Nombre,2018,3686211.0
Internet,T abonnés Internet Fixe et Mobile (Toutes technologies),Abonnés Internet (toutes technologies),,Nombre,2019,3411809.0
Internet,T abonnés Internet haut débit Fixe et Mobile,Abonnés Internet haut débit,,Nombre,2013,161877.0
Internet,T abonnés Internet haut débit Fixe et Mobile,Abonnés Internet haut débit,,Nombre,2014,255622.0
Internet,T abonnés Internet haut débit Fixe et Mobile,Abonnés Internet haut débit,,Nombre,2015,497941.0
Internet,T abonnés Internet haut débit Fixe et Mobile,Abonnés Internet haut débit,,Nombre,2016,1486188.0
Internet,T abonnés Internet haut débit Fixe et Mobile,Abonnés Internet haut débit,,Nombre,2017,2066408.0
Internet,T abonnés Internet haut débit Fixe et Mobile,Abonnés Internet haut débit,,Nombre,2018,2549258.0
Internet,T abonnés Internet haut débit Fixe et Mobile,Abonnés Internet haut débit,,Nombre,2019,2082203.0
Internet,T abonnés Internet mobiles (Toutes technologies),Abonnés Internet mobile (toutes technologies),,Nombre,2013,279437.0
Internet,T abonnés Internet mobiles (Toutes technologies),Abonnés Internet mobile (toutes technologies),,Nombre,2014,526984.0
Internet,T abonnés Internet mobiles (Toutes technologies),Abonnés Internet mobile (toutes technologies),,Nombre,2015,836676.0
Internet,T abonnés Internet mobiles (Toutes technologies),Abonnés Internet mobile (toutes technologies),,Nombre,2016,1521390.0
Internet,T abonnés Internet mobiles (Toutes technologies),Abonnés Internet mobile (toutes technologies),,Nombre,2017,2605249.0
Internet,T abonnés Internet mobiles (Toutes technologies),Abonnés Internet mobile (toutes technologies),,Nombre,2018,3660055.0
Internet,T abonnés Internet mobiles (Toutes technologies),Abonnés Internet mobile (toutes technologies),,Nombre,2019,3379910.0
Internet,T abonnés Internet mobiles (Haut débit),Abonnés Internet mobile haut débit,,Nombre,2013,130019.0
Internet,T abonnés Internet mobiles (Haut débit),Abonnés Internet mobile haut débit,,Nombre,2014,210448.0
Internet,T abonnés Internet mobiles (Haut débit),Abonnés Internet mobile haut débit,,Nombre,2015,431869.0
Internet,T abonnés Internet mobiles (Haut débit),Abonnés Internet mobile haut débit,,Nombre,2016,1437425.0
Internet,T abonnés Internet mobiles (Haut débit),Abonnés Internet mobile haut débit,,Nombre,2017,2015858.0
Internet,T abonnés Internet mobiles (Haut débit),Abonnés Internet mobile haut débit,,Nombre,2018,2524282.0
Internet,T abonnés Internet mobiles (Haut débit),Abonnés Internet mobile haut débit,,Nombre,2019,2050304.0
Internet,Abonnés GPRS /EDGE Togo Cellulaire,Abonnés GPRS/EDGE (2G),Togocom,Nombre,2013,39594.0
Internet,Abonnés GPRS /EDGE Togo Cellulaire,Abonnés GPRS/EDGE (2G),Togocom,Nombre,2014,31610.0
Internet,Abonnés GPRS /EDGE Togo Cellulaire,Abonnés GPRS/EDGE (2G),Togocom,Nombre,2015,23096.0
Internet,Abonnés GPRS /EDGE Togo Cellulaire,Abonnés GPRS/EDGE (2G),Togocom,Nombre,2016,15350.0
Internet,Abonnés GPRS /EDGE Togo Cellulaire,Abonnés GPRS/EDGE (2G),Togocom,Nombre,2017,12011.0
Internet,Abonnés GPRS /EDGE Togo Cellulaire,Abonnés GPRS/EDGE (2G),Togocom,Nombre,2018,29489.0
Internet,Abonnés GPRS /EDGE Togo Cellulaire,Abonnés GPRS/EDGE (2G),Togocom,Nombre,2019,1134.0
Internet,Abonnés GPRS/EDGE Atlantique Telecom,Abonnés GPRS/EDGE (2G),Moov Africa,Nombre,2013,109824.0
Internet,Abonnés GPRS/EDGE Atlantique Telecom,Abonnés GPRS/EDGE (2G),Moov Africa,Nombre,2014,284926.0
Internet,Abonnés GPRS/EDGE Atlantique Telecom,Abonnés GPRS/EDGE (2G),Moov Africa,Nombre,2015,381711.0
Internet,Abonnés GPRS/EDGE Atlantique Telecom,Abonnés GPRS/EDGE (2G),Moov Africa,Nombre,2016,68615.0
Internet,Abonnés GPRS/EDGE Atlantique Telecom,Abonnés GPRS/EDGE (2G),Moov Africa,Nombre,2017,577380.0
Internet,Abonnés GPRS/EDGE Atlantique Telecom,Abonnés GPRS/EDGE (2G),Moov Africa,Nombre,2018,1106284.0
Internet,Abonnés GPRS/EDGE Atlantique Telecom,Abonnés GPRS/EDGE (2G),Moov Africa,Nombre,2019,1328472.0
Internet,Nombre de clients 3G Togo Cellulaire,Clients 3G,Togocom,Nombre,2013,130019.0
Internet,Nombre de clients 3G Togo Cellulaire,Clients 3G,Togocom,Nombre,2014,210448.0
Internet,Nombre de clients 3G Togo Cellulaire,Clients 3G,Togocom,Nombre,2015,431869.0
Internet,Nombre de clients 3G Togo Cellulaire,Clients 3G,Togocom,Nombre,2016,1142917.0
Internet,Nombre de clients 3G Togo Cellulaire,Clients 3G,Togocom,Nombre,2017,1610821.0
Internet,Nombre de clients 3G Togo Cellulaire,Clients 3G,Togocom,Nombre,2018,1932767.0
Internet,Nombre de clients 3G Togo Cellulaire,Clients 3G,Togocom,Nombre,2019,1242250.0
Internet,Nombre de clients 3G Atlantique Telecom,Clients 3G,Moov Africa,Nombre,2013,0.0
Internet,Nombre de clients 3G Atlantique Telecom,Clients 3G,Moov Africa,Nombre,2014,0.0
Internet,Nombre de clients 3G Atlantique Telecom,Clients 3G,Moov Africa,Nombre,2015,0.0
Internet,Nombre de clients 3G Atlantique Telecom,Clients 3G,Moov Africa,Nombre,2016,294508.0
Internet,Nombre de clients 3G Atlantique Telecom,Clients 3G,Moov Africa,Nombre,2017,405037.0
Internet,Nombre de clients 3G Atlantique Telecom,Clients 3G,Moov Africa,Nombre,2018,467873.0
Internet,Nombre de clients 3G Atlantique Telecom,Clients 3G,Moov Africa,Nombre,2019,633580.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2013,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2014,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2015,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2016,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2017,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2018,123642.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2019,174474.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2013,0.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2014,0.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2015,0.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2016,0.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2017,0.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2013,169613.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2014,242058.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2015,454965.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2016,1158267.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2017,1622832.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2018,2085898.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2019,1417858.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2013,109824.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2014,284926.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2015,381711.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2016,363123.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2017,982417.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2018,1574157.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2019,1962052.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2013,65991.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2014,79621.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2015,63108.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2016,44613.0
