"indicateur","Unit","Date","Value"
"T abonnés Internet Fixe et Mobile (Toutes technologies)","Nombre","2013","348192"
"T abonnés Internet Fixe et Mobile (Toutes technologies)","Nombre","2014","609095"
"T abonnés Internet Fixe et Mobile (Toutes technologies)","Nombre","2015","902748"
"T abonnés Internet Fixe et Mobile (Toutes technologies)","Nombre","2016","1570153"
"T abonnés Internet Fixe et Mobile (Toutes technologies)","Nombre","2017","2655799"
"T abonnés Internet Fixe et Mobile (Toutes technologies)","Nombre","2018","3686211"
"T abonnés Internet Fixe et Mobile (Toutes technologies)","Nombre","2019","3411809"
"T abonnés Internet haut débit Fixe et Mobile","Nombre","2013","161877"
"T abonnés Internet haut débit Fixe et Mobile","Nombre","2014","255622"
"T abonnés Internet haut débit Fixe et Mobile","Nombre","2015","497941"
"T abonnés Internet haut débit Fixe et Mobile","Nombre","2016","1486188"
"T abonnés Internet haut débit Fixe et Mobile","Nombre","2017","2066408"
"T abonnés Internet haut débit Fixe et Mobile","Nombre","2018","2549258"
"T abonnés Internet haut débit Fixe et Mobile","Nombre","2019","2082203"
"T abonnés Internet mobiles (Toutes technologies)","Nombre","2013","279437"
"T abonnés Internet mobiles (Toutes technologies)","Nombre","2014","526984"
"T abonnés Internet mobiles (Toutes technologies)","Nombre","2015","836676"
"T abonnés Internet mobiles (Toutes technologies)","Nombre","2016","1521390"
"T abonnés Internet mobiles (Toutes technologies)","Nombre","2017","2605249"
"T abonnés Internet mobiles (Toutes technologies)","Nombre","2018","3660055"
"T abonnés Internet mobiles (Toutes technologies)","Nombre","2019","3379910"
"T abonnés Internet mobiles (Haut débit)","Nombre","2013","130019"
"T abonnés Internet mobiles (Haut débit)","Nombre","2014","210448"
"T abonnés Internet mobiles (Haut débit)","Nombre","2015","431869"
"T abonnés Internet mobiles (Haut débit)","Nombre","2016","1437425"
"T abonnés Internet mobiles (Haut débit)","Nombre","2017","2015858"
"T abonnés Internet mobiles (Haut débit)","Nombre","2018","2524282"
"T abonnés Internet mobiles (Haut débit)","Nombre","2019","2050304"
"Abonnés GPRS /EDGE Togo Cellulaire","Nombre","2013","39594"
"Abonnés GPRS /EDGE Togo Cellulaire","Nombre","2014","31610"
"Abonnés GPRS /EDGE Togo Cellulaire","Nombre","2015","23096"
"Abonnés GPRS /EDGE Togo Cellulaire","Nombre","2016","15350"
"Abonnés GPRS /EDGE Togo Cellulaire","Nombre","2017","12011"
"Abonnés GPRS /EDGE Togo Cellulaire","Nombre","2018","29489"
"Abonnés GPRS /EDGE Togo Cellulaire","Nombre","2019","1134"
"Abonnés GPRS/EDGE Atlantique Telecom","Nombre","2013","109824"
"Abonnés GPRS/EDGE Atlantique Telecom","Nombre","2014","284926"
"Abonnés GPRS/EDGE Atlantique Telecom","Nombre","2015","381711"
"Abonnés GPRS/EDGE Atlantique Telecom","Nombre","2016","68615"
"Abonnés GPRS/EDGE Atlantique Telecom","Nombre","2017","577380"
"Abonnés GPRS/EDGE Atlantique Telecom","Nombre","2018","1106284"
"Abonnés GPRS/EDGE Atlantique Telecom","Nombre","2019","1328472"
"Nombre de clients 3G Togo Cellulaire","Nombre","2013","130019"
"Nombre de clients 3G Togo Cellulaire","Nombre","2014","210448"
"Nombre de clients 3G Togo Cellulaire","Nombre","2015","431869"
"Nombre de clients 3G Togo Cellulaire","Nombre","2016","1142917"
"Nombre de clients 3G Togo Cellulaire","Nombre","2017","1610821"
"Nombre de clients 3G Togo Cellulaire","Nombre","2018","1932767"
"Nombre de clients 3G Togo Cellulaire","Nombre","2019","1242250"
"Nombre de clients 3G Atlantique Telecom","Nombre","2013","0"
"Nombre de clients 3G Atlantique Telecom","Nombre","2014","0"
"Nombre de clients 3G Atlantique Telecom","Nombre","2015","0"
"Nombre de clients 3G Atlantique Telecom","Nombre","2016","294508"
"Nombre de clients 3G Atlantique Telecom","Nombre","2017","405037"
"Nombre de clients 3G Atlantique Telecom","Nombre","2018","467873"
"Nombre de clients 3G Atlantique Telecom","Nombre","2019","633580"
"Nombre de clients 4G Togo Cellulaire","Nombre","2013","0"
"Nombre de clients 4G Togo Cellulaire","Nombre","2014","0"
"Nombre de clients 4G Togo Cellulaire","Nombre","2015","0"
"Nombre de clients 4G Togo Cellulaire","Nombre","2016","0"
"Nombre de clients 4G Togo Cellulaire","Nombre","2017","0"
"Nombre de clients 4G Togo Cellulaire","Nombre","2018","123642"
"Nombre de clients 4G Togo Cellulaire","Nombre","2019","174474"
"Nombre de clients 4G Atlantique Telecom","Nombre","2013","0"
"Nombre de clients 4G Atlantique Telecom","Nombre","2014","0"
"Nombre de clients 4G Atlantique Telecom","Nombre","2015","0"
"Nombre de clients 4G Atlantique Telecom","Nombre","2016","0"
"Nombre de clients 4G Atlantique Telecom","Nombre","2017","0"
"T Togo Cellulaire","Nombre","2013","169613"
"T Togo Cellulaire","Nombre","2014","242058"
"T Togo Cellulaire","Nombre","2015","454965"
"T Togo Cellulaire","Nombre","2016","1158267"
"T Togo Cellulaire","Nombre","2017","1622832"
"T Togo Cellulaire","Nombre","2018","2085898"
"T Togo Cellulaire","Nombre","2019","1417858"
"T Atlantique Telecom","Nombre","2013","109824"
"T Atlantique Telecom","Nombre","2014","284926"
"T Atlantique Telecom","Nombre","2015","381711"
"T Atlantique Telecom","Nombre","2016","363123"
"T Atlantique Telecom","Nombre","2017","982417"
"T Atlantique Telecom","Nombre","2018","1574157"
"T Atlantique Telecom","Nombre","2019","1962052"
"T Abonnés Internet Togo Telecom","Nombre","2013","65991"
"T Abonnés Internet Togo Telecom","Nombre","2014","79621"
"T Abonnés Internet Togo Telecom","Nombre","2015","63108"
"T Abonnés Internet Togo Telecom","Nombre","2016","44613"
"T Abonnés Internet Togo Telecom","Nombre","2017","45757"
"T Abonnés Internet Togo Telecom","Nombre","2018","19340"
"T Abonnés Internet Togo Telecom","Nombre","2019","23466"
"LS point à point","Nombre","2013","448"
"LS Internet","Nombre","2013","93"
"LS Internet","Nombre","2014","104"
"LS Internet","Nombre","2015","100"
"LS Internet","Nombre","2016","116"
"LS Internet","Nombre","2017","133"
"LS Internet","Nombre","2018","148"
"LS Internet","Nombre","2019","183"
"Illiconet","Nombre","2013","36449"
"Illiconet","Nombre","2014","36937"
"Wimax","Nombre","2013","414"
"Wimax","Nombre","2014","494"
"Wimax","Nombre","2015","409"
"Wimax","Nombre","2016","462"
"Wimax","Nombre","2017","1068"
"Wimax","Nombre","2018","2167"
"Wimax","Nombre","2019","1806"
"ADSL","Nombre","2013","6822"
"ADSL","Nombre","2014","9626"
"ADSL","Nombre","2015","10185"
"ADSL","Nombre","2016","8299"
"ADSL","Nombre","2017","10536"
"ADSL","Nombre","2018","14957"
"ADSL","Nombre","2019","14589"
"EvDo","Nombre","2013","21765"
"EvDo","Nombre","2014","32460"
"EvDo","Nombre","2015","52414"
"EvDo","Nombre","2016","35736"
"EvDo","Nombre","2017","33928"
"FTTH","Nombre","2013","0"
"FTTH","Nombre","2014","0"
"FTTH","Nombre","2015","0"
"FTTH","Nombre","2016","0"
"FTTH","Nombre","2017","92"
"FTTH","Nombre","2018","2068"
"FTTH","Nombre","2019","6888"
"Abonnés CAFE","Nombre","2013","2764"
"Abonnés CAFE","Nombre","2014","2490"
"Abonnés CAFE","Nombre","2015","2964"
"Abonnés CAFE","Nombre","2016","4150"
"Abonnés CAFE","Nombre","2017","4793"
"Abonnés CAFE","Nombre","2018","5619"
"Abonnés CAFE","Nombre","2019","2334"
"TEOLIS","Nombre","2013","0"
"TEOLIS","Nombre","2014","0"
"TEOLIS","Nombre","2015","0"
"TEOLIS","Nombre","2016","0"
"TEOLIS","Nombre","2017","0"
"TEOLIS","Nombre","2018","17"
"TEOLIS","Nombre","2019","154"
"GVA","Nombre","2013","0"
"GVA","Nombre","2014","0"
"GVA","Nombre","2015","0"
"GVA","Nombre","2016","0"
"GVA","Nombre","2017","0"
"GVA","Nombre","2018","1180"
"GVA","Nombre","2019","5945"
"Taux de pénétration Internet (Toutes technologies) (%)","Nombre","2013","5.24"
"Taux de pénétration Internet (Toutes technologies) (%)","Nombre","2014","8.95"
"Taux de pénétration Internet (Toutes technologies) (%)","Nombre","2015","12.94"
"Taux de pénétration Internet (Toutes technologies) (%)","Nombre","2016","21.98"
"Taux de pénétration Internet (Toutes technologies) (%)","Nombre","2017","36.31"
"Taux de pénétration Internet (Toutes technologies) (%)","Nombre","2018","49.55"
"Taux de pénétration Internet (Toutes technologies) (%)","Nombre","2019","44.79"
"Taux de pénétration Internet haut débit (%)","Nombre","2013","2.43"
"Taux de pénétration Internet haut débit (%)","Nombre","2014","3.75"
"Taux de pénétration Internet haut débit (%)","Nombre","2015","7.14"
"Taux de pénétration Internet haut débit (%)","Nombre","2016","20.81"
"Taux de pénétration Internet haut débit (%)","Nombre","2017","28.25"
"Taux de pénétration Internet haut débit (%)","Nombre","2018","34.26"
"Taux de pénétration Internet haut débit (%)","Nombre","2019","27.34"
