No.,Nom du champ,Question,Description,Type du champ
1,region_nom_bdd,,xsd:string,string
2,prefecture_nom_bdd,,xsd:string,string
3,commune_nom_bdd,,xsd:string,string
4,canton_nom_bdd,,xsd:string,string
5,id,,xsd:int,int
6,canton_id_bdd,ID du canton,xsd:string,string
7,nom_localite,"Nom de la localité (Village, Ville ou Quartier si grande ville)",xsd:string,string
8,etab_id_collecte,ID textuel de l'établissement,xsd:string,string
9,etab_nom,Nom de l'établissement,xsd:string,string
10,etab_adresse,Adresse de l'établissement,xsd:string,string
11,etab_jour,Journées d'ouverture,xsd:string,string
12,etab_heure,Horaires d'ouverture,xsd:string,string
13,interlocuteur_presence,Y a-t-il un interlocuteur?,xsd:string,string
14,interlocuteur_responsable,L'interlocuteur est il le responsable de l'établissement ?,xsd:string,string
15,interlocuteur_fonction,"Si non, quelle est votre fonction ?",xsd:string,string
16,interlocuteur_nom_prenom,"Si non, NOM Prénom",xsd:string,string
17,interlocuteur_genre,"Si non, genre de l'interlocuteur",xsd:string,string
18,interlocuteur_tel,"Si non, numéro de téléphone",xsd:string,string
19,responsable_nom_prenom,NOM et Prénom du responsable,xsd:string,string
20,responsable_genre,Genre du responsable,xsd:string,string
21,responsable_fonction,Fonction du responsable,xsd:string,string
22,responsable_tel,Téléphone du responsable,xsd:string,string
23,responsable_mail,Mail du responsable,xsd:string,string
24,responsable_annee,Année de la prise de fonction en tant que responsable,xsd:string,string
25,activite_statut,Statut de l'établissement,xsd:string,string
26,activite_categorie,Catégorie de l'établissement,xsd:string,string
27,activite_categorie_banque,"Si banque, laquelle ?",xsd:string,string
28,activite_description,Pourriez vous décrire en quelques lignes les activités de l'organisation?,xsd:string,string
29,org_creation_date,Année de création de l'établissement,xsd:string,string
30,org_nom,Nom de l'organisation de rattachement,xsd:string,string
31,org_type,Type d'organisation,xsd:string,string
32,org_type_autre,Autre type d'organisation,xsd:string,string
33,org_ministere_tutelle,"Si établissement public, ministere/institiution de tutelle",xsd:string,string
34,org_numero_prive,"Si établissement privé, Numéro CFE",xsd:string,string
35,org_fodes,"Si Association/ONG/syndicat uniquement, dans le registre FODES?",xsd:string,string
36,org_fodes_num,"Si oui, numéro FODES",xsd:string,string
37,org_numero_autre,Tout autre numéro d'enregistrement,xsd:string,string
38,org_type2,Origine de l'organisation de rattachement,xsd:string,string
39,org_type2_international,"Si internationale, pays d'origine",xsd:string,string
40,org_qg,Localité du quartier général de l'organisation au Togo,xsd:string,string
41,personnel_nbr,Nombre total de personnels,xsd:int,int
42,personnel_femme_nbr,Nombre de personnels femmes,xsd:int,int
43,personnel_homme_nbr,Nombre de personnels hommes,xsd:int,int
44,personnel_admin_nbr,Nombre de personnels administratifs,xsd:int,int
45,personnel_comm_nbr,Nombre de personnels commercials,xsd:int,int
46,reception,Y a-t-il une réception?,xsd:string,string
47,guichet_nbr,Nombre de guichets pour accueillir les clients,xsd:int,int
48,client_parti,Nombre de clients particuliers,xsd:int,int
49,client_prive,Nombre de clients d'entreprises,xsd:int,int
50,eau_acces,Y a-t-il accès à l'eau ?,xsd:string,string
51,eau_source,"Si oui, quelle source ?",xsd:string,string
52,eau_source_autre,Autre type de source d'eau,xsd:string,string
53,eau_pression,"Si oui, quelle pression ?",xsd:string,string
54,eau_debit,"Combien de secondes pour remplir une bouteille de 1,5L?",xsd:string,string
55,eau_acces_temps,"Si oui, temps d'accès à l'eau ?",xsd:string,string
56,eau_qualite,"Si oui, qualité de l'eau ?",xsd:string,string
57,lavage,Y a-t-il des dispositifs pour le lavage des mains ?,xsd:string,string
58,lavage_type,Type de dispositifs de lavage de mains,xsd:string,string
59,lavage_type_autre,Autre type de lavage de mains,xsd:string,string
