FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,activite_statut,activite_categorie,toilette_type,geometry
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447e,Maritime,Golfe,Golfe 5,Aflao-Gakli,Amadahome ,BTCI Amadahome,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Banque,N/a,POINT (1.1654270638510162 6.203541360604255)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447d,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Awassi Onorio,FUCEC Togo Afagnan,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Utilisé,Micro-Finance,N/a,POINT (1.6271233333333333 6.4957666666666665)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447c,Maritime,Zio,Zio 1,Abobo,Djagble,Mutuelle Dignite Humaine,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Utilisé,Mutuelle,N/a,POINT (1.287165 6.2662249999999995)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447b,Maritime,Zio,Zio 1,Abobo,Ablota,Mutuelle Le Roc,Nsp,"{jeudi,Lundi,Mardi,Mercredi,Vendredi}",Utilisé,Mutuelle,N/a,POINT (1.3728760724747087 6.239534103539881)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-447a,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome ,FUCEC-Togo,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Utilisé,Micro-Finance,N/a,POINT (1.1690136321572586 6.183478641263159)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4479,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidoadin,CIF Assurance-vie,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Utilisé,Assurance,N/a,POINT (1.1895305475058346 6.206187504803494)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4478,Maritime,Golfe,Golfe 6,Baguida,BAGUIDA,BTCI Baguida,ABAKPOZO,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Utilisé,Banque,N/a,POINT (1.3381952574322604 6.167495664668762)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4477,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Microfinance Millenium Totsi,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Utilisé,Micro-Finance,N/a,POINT (1.1866806869108153 6.197077790836492)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4476,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedogan ,BTCI Agbalepedogan,Nsp,"{Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,Banque,N/a,POINT (1.2007360347995675 6.197624349044445)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4475,Maritime,Zio,Zio 1,Djagblé,Djagble,COOPAD Djagblé,Nsp,Nsp,Utilisé,Micro-Finance,N/a,POINT (1.282792090426032 6.254119620863774)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4474,Plateaux,Ogou,Ogou 1,Gnagna,YATA,SUNU Bank Yata,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Fermé,Banque,N/a,POINT (1.1403786980788655 7.519636195213213)
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4473,Maritime,Zio,Zio 1,Djagblé,Djagble,Mutuelle Meci,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Utilisé,Mutuelle,N/a,POINT (1.2835601090271076 6.256053905261389)
