"indicateur","Unit","Date","Value"
"Le nombre total d'abonnés fixe et mobile","Nombre","2013","3778401"
"Le nombre total d'abonnés fixe et mobile","Nombre","2014","4272018"
"Le nombre total d'abonnés fixe et mobile","Nombre","2015","4710010"
"Le nombre total d'abonnés fixe et mobile","Nombre","2016","5385024"
"Le nombre total d'abonnés fixe et mobile","Nombre","2017","6106016"
"Le nombre total d'abonnés fixe et mobile","Nombre","2018","6182198"
"Le nombre total d'abonnés fixe et mobile","Nombre","2019","6282788"
"Le nombre total d'abonnées mobiles GSM","Nombre","2013","3713908"
"Le nombre total d'abonnées mobiles GSM","Nombre","2014","4218707"
"Le nombre total d'abonnées mobiles GSM","Nombre","2015","4657321"
"Le nombre total d'abonnées mobiles GSM","Nombre","2016","5351215"
"Le nombre total d'abonnées mobiles GSM","Nombre","2017","6069905"
"Le nombre total d'abonnées mobiles GSM","Nombre","2018","6144507"
"Le nombre total d'abonnées mobiles GSM","Nombre","2019","6239183"
"Le nombre total d'abonnés fixe","Nombre","2013","64493"
"Le nombre total d'abonnés fixe","Nombre","2014","53311"
"Le nombre total d'abonnés fixe","Nombre","2015","52689"
"Le nombre total d'abonnés fixe","Nombre","2016","33809"
"Le nombre total d'abonnés fixe","Nombre","2017","36111"
"Le nombre total d'abonnés fixe","Nombre","2018","37691"
"Le nombre total d'abonnés fixe","Nombre","2019","43605"
"Télédensité fixe","%","2013","0.97"
"Télédensité fixe","%","2014","0.78"
"Télédensité fixe","%","2015","0.76"
"Télédensité fixe","%","2016","0.47"
"Télédensité fixe","%","2017","0.49"
"Télédensité fixe","%","2018","0.51"
"Télédensité fixe","%","2019","0.57"
"Télédensité mobile GSM","%","2013","55.87"
"Télédensité mobile GSM","%","2014","61.96"
"Télédensité mobile GSM","%","2015","66.78"
"Télédensité mobile GSM","%","2016","74.92"
"Télédensité mobile GSM","%","2017","82.98"
"Télédensité mobile GSM","%","2018","82.59"
"Télédensité mobile GSM","%","2019","81.91"
"Chiffres d'Affaires","Francs CFA","2013","178673000000"
"Chiffres d'Affaires","Francs CFA","2014","188077000000"
"Chiffres d'Affaires","Francs CFA","2015","199604000000"
"Chiffres d'Affaires","Francs CFA","2016","187552000000"
"Chiffres d'Affaires","Francs CFA","2017","178483000000"
"Chiffres d'Affaires","Francs CFA","2018","177177000000"
"Chiffres d'Affaires","Francs CFA","2019","184914000000"
"Investissement","Francs CFA","2013","42174000000"
"Investissement","Francs CFA","2014","19057000000"
"Investissement","Francs CFA","2015","31467000000"
"Investissement","Francs CFA","2016","40889000000"
"Investissement","Francs CFA","2017","44958000000"
"Investissement","Francs CFA","2018","68541000000"
"Investissement","Francs CFA","2019","47203000000"
"ARPU segment mobile GSM","Francs CFA","2013","32670000000000"
"ARPU segment mobile GSM","Francs CFA","2014","33234000000000"
"ARPU segment mobile GSM","Francs CFA","2015","32358000000000"
"ARPU segment mobile GSM","Francs CFA","2016","28019000000000"
"ARPU segment mobile GSM","Francs CFA","2017","24315000000000"
"ARPU segment mobile GSM","Francs CFA","2018","24448000000000"
"ARPU segment mobile GSM","Francs CFA","2019","25563000000000"
"Part de marché Togo Cellulaire (en abonnées) en %","%","2013","54.57"
"Part de marché Togo Cellulaire (en abonnées) en %","%","2014","54.48"
"Part de marché Togo Cellulaire (en abonnées) en %","%","2015","54.03"
"Part de marché Togo Cellulaire (en abonnées) en %","%","2016","53.98"
"Part de marché Togo Cellulaire (en abonnées) en %","%","2017","51.52"
"Part de marché Togo Cellulaire (en abonnées) en %","%","2018","44.59"
"Part de marché Togo Cellulaire (en abonnées) en %","%","2019","51.44"
"Part de marché Atlantique Telecom Togo (en abonnées)","%","2013","45.43"
"Part de marché Atlantique Telecom Togo (en abonnées)","%","2014","45.52"
"Part de marché Atlantique Telecom Togo (en abonnées)","%","2015","45.97"
"Part de marché Atlantique Telecom Togo (en abonnées)","%","2016","46.02"
"Part de marché Atlantique Telecom Togo (en abonnées)","%","2017","48.48"
"Part de marché Atlantique Telecom Togo (en abonnées)","%","2018","55.41"
"Part de marché Atlantique Telecom Togo (en abonnées)","%","2019","48.56"
