"indicateur","découpage-administratif","sexe","Unit","Date","Value"
"Population résidente par découpage administratif et par sexe","TOGO","Total","Nombre","2022","8095498"
"Population résidente par découpage administratif et par sexe","SAVANES","Total","Nombre","2022","1143520"
"Population résidente par découpage administratif et par sexe","TONE","Total","Nombre","2022","388775"
"Population résidente par découpage administratif et par sexe","TONE 1","Total","Nombre","2022","211743"
"Population résidente par découpage administratif et par sexe","DAPAONG","Total","Nombre","2022","144711"
"Population résidente par découpage administratif et par sexe","KOURIENTRE","Total","Nombre","2022","12224"
"Population résidente par découpage administratif et par sexe","POISSONGUI","Total","Nombre","2022","6155"
"Population résidente par découpage administratif et par sexe","NATIGOU","Total","Nombre","2022","11234"
"Population résidente par découpage administratif et par sexe","TOAGA","Total","Nombre","2022","13494"
"Population résidente par découpage administratif et par sexe","PANA","Total","Nombre","2022","13279"
"Population résidente par découpage administratif et par sexe","BIDJENGA","Total","Nombre","2022","10646"
"Population résidente par découpage administratif et par sexe","TONE 2","Total","Nombre","2022","50179"
"Population résidente par découpage administratif et par sexe","NAKI-OUEST","Total","Nombre","2022","24016"
"Population résidente par découpage administratif et par sexe","NAMARE","Total","Nombre","2022","12103"
"Population résidente par découpage administratif et par sexe","NANERGOU","Total","Nombre","2022","14060"
"Population résidente par découpage administratif et par sexe","TONE 3","Total","Nombre","2022","60276"
"Population résidente par découpage administratif et par sexe","TAMI","Total","Nombre","2022","20619"
"Population résidente par découpage administratif et par sexe","NIOUKPOURMA","Total","Nombre","2022","17991"
"Population résidente par découpage administratif et par sexe","LOTOGOU","Total","Nombre","2022","14432"
"Population résidente par découpage administratif et par sexe","WARKAMBOU","Total","Nombre","2022","7234"
"Population résidente par découpage administratif et par sexe","TONE 4","Total","Nombre","2022","66577"
"Population résidente par découpage administratif et par sexe","KORBONGOU","Total","Nombre","2022","25609"
"Population résidente par découpage administratif et par sexe","LOUANGA","Total","Nombre","2022","11434"
"Population résidente par découpage administratif et par sexe","KANTINDI","Total","Nombre","2022","14016"
"Population résidente par découpage administratif et par sexe","SANFATOUTE","Total","Nombre","2022","15518"
"Population résidente par découpage administratif et par sexe","CINKASSE","Total","Nombre","2022","128959"
"Population résidente par découpage administratif et par sexe","CINKASSE 1","Total","Nombre","2022","75992"
"Population résidente par découpage administratif et par sexe","CINKASSE","Total","Nombre","2022","63226"
"Population résidente par découpage administratif et par sexe","BOADE","Total","Nombre","2022","7403"
"Population résidente par découpage administratif et par sexe","GNOAGA","Total","Nombre","2022","1656"
"Population résidente par découpage administratif et par sexe","GOULOUNGOUSSI","Total","Nombre","2022","3707"
"Population résidente par découpage administratif et par sexe","CINKASSE 2","Total","Nombre","2022","52967"
"Population résidente par découpage administratif et par sexe","TIMBOU","Total","Nombre","2022","21709"
"Population résidente par découpage administratif et par sexe","SAM-NABA","Total","Nombre","2022","9361"
"Population résidente par découpage administratif et par sexe","NADJOUNDI","Total","Nombre","2022","10140"
"Population résidente par découpage administratif et par sexe","BIANKOURI","Total","Nombre","2022","11757"
"Population résidente par découpage administratif et par sexe","KPENDJAL-OUEST","Total","Nombre","2022","123330"
"Population résidente par découpage administratif et par sexe","KPENDJAL-OUEST 1","Total","Nombre","2022","56459"
"Population résidente par découpage administratif et par sexe","NAKI-EST","Total","Nombre","2022","24761"
"Population résidente par découpage administratif et par sexe","NAYEGA","Total","Nombre","2022","19235"
"Population résidente par découpage administratif et par sexe","OGARO","Total","Nombre","2022","12463"
"Population résidente par découpage administratif et par sexe","KPENDJAL-OUEST 2","Total","Nombre","2022","66871"
"Population résidente par découpage administratif et par sexe","POGNO","Total","Nombre","2022","15448"
"Population résidente par découpage administratif et par sexe","NAMOUNDJOGA","Total","Nombre","2022","17896"
"Population résidente par découpage administratif et par sexe","TAMBONGA","Total","Nombre","2022","18709"
"Population résidente par découpage administratif et par sexe","PAPRI","Total","Nombre","2022","14818"
"Population résidente par découpage administratif et par sexe","KPENDJAL","Total","Nombre","2022","88365"
"Population résidente par découpage administratif et par sexe","KPENDJAL 1","Total","Nombre","2022","47903"
"Population résidente par découpage administratif et par sexe","MANDOURI","Total","Nombre","2022","20616"
"Population résidente par découpage administratif et par sexe","TAMBIGOU","Total","Nombre","2022","9361"
"Population résidente par découpage administratif et par sexe","KOUNDJOARE","Total","Nombre","2022","17926"
"Population résidente par découpage administratif et par sexe","KPENDJAL 2","Total","Nombre","2022","40462"
"Population résidente par découpage administratif et par sexe","BORGOU","Total","Nombre","2022","40462"
"Population résidente par découpage administratif et par sexe","OTI-SUD","Total","Nombre","2022","150376"
"Population résidente par découpage administratif et par sexe","OTI-SUD 1","Total","Nombre","2022","106052"
"Population résidente par découpage administratif et par sexe","GANDO","Total","Nombre","2022","41374"
"Population résidente par découpage administratif et par sexe","SAGBIEBOU","Total","Nombre","2022","20370"
"Population résidente par découpage administratif et par sexe","MOGOU","Total","Nombre","2022","30442"
"Population résidente par découpage administratif et par sexe","TCHAMONGA","Total","Nombre","2022","13866"
"Population résidente par découpage administratif et par sexe","OTI-SUD 2","Total","Nombre","2022","44324"
"Population résidente par découpage administratif et par sexe","TAKPAMBA","Total","Nombre","2022","12423"
"Population résidente par découpage administratif et par sexe","NALI","Total","Nombre","2022","11284"
"Population résidente par découpage administratif et par sexe","KOUMONGOU","Total","Nombre","2022","7167"
"Population résidente par découpage administratif et par sexe","KOUNTOIRE","Total","Nombre","2022","13450"
"Population résidente par découpage administratif et par sexe","OTI","Total","Nombre","2022","124848"
"Population résidente par découpage administratif et par sexe","OTI 1","Total","Nombre","2022","54479"
"Population résidente par découpage administratif et par sexe","MANGO","Total","Nombre","2022","41803"
"Population résidente par découpage administratif et par sexe","SADORI","Total","Nombre","2022","8100"
"Population résidente par découpage administratif et par sexe","FARE","Total","Nombre","2022","4576"
"Population résidente par découpage administratif et par sexe","OTI 2","Total","Nombre","2022","70369"
"Population résidente par découpage administratif et par sexe","BARKOISSI","Total","Nombre","2022","21060"
"Population résidente par découpage administratif et par sexe","GALANGASHIE","Total","Nombre","2022","14810"
"Population résidente par découpage administratif et par sexe","TCHANAGA","Total","Nombre","2022","8973"
"Population résidente par découpage administratif et par sexe","NAGBENI","Total","Nombre","2022","19607"
"Population résidente par découpage administratif et par sexe","LOKO","Total","Nombre","2022","5919"
"Population résidente par découpage administratif et par sexe","TANDJOARE","Total","Nombre","2022","138867"
"Population résidente par découpage administratif et par sexe","TANDJOARE 1","Total","Nombre","2022","74692"
"Population résidente par découpage administratif et par sexe","NANDOGA","Total","Nombre","2022","6334"
