indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Individuals using the Internet (% of population),Togo,TGO,2023,,,,0
Individuals using the Internet (% of population),Togo,TGO,2022,37.6212,,,0
Individuals using the Internet (% of population),Togo,TGO,2021,32.5051,,,0
Individuals using the Internet (% of population),Togo,TGO,2020,29.0237,,,0
Individuals using the Internet (% of population),Togo,TGO,2019,20.7273,,,0
Individuals using the Internet (% of population),Togo,TGO,2018,15.5,,,0
Individuals using the Internet (% of population),Togo,TGO,2017,12.3602,,,0
Individuals using the Internet (% of population),Togo,TGO,2016,11.31,,,0
Individuals using the Internet (% of population),Togo,TGO,2015,7.12,,,0
Individuals using the Internet (% of population),Togo,TGO,2014,5.7,,,0
Individuals using the Internet (% of population),Togo,TGO,2013,4.5,,,0
Individuals using the Internet (% of population),Togo,TGO,2012,4.0,,,0
Individuals using the Internet (% of population),Togo,TGO,2011,3.5,,,0
Individuals using the Internet (% of population),Togo,TGO,2010,3.0,,,0
Individuals using the Internet (% of population),Togo,TGO,2009,2.6,,,0
Individuals using the Internet (% of population),Togo,TGO,2008,2.4,,,0
Individuals using the Internet (% of population),Togo,TGO,2007,2.2,,,0
Individuals using the Internet (% of population),Togo,TGO,2006,2.0,,,0
Individuals using the Internet (% of population),Togo,TGO,2005,1.8,,,0
Individuals using the Internet (% of population),Togo,TGO,2004,1.5,,,0
Individuals using the Internet (% of population),Togo,TGO,2003,1.2,,,0
Individuals using the Internet (% of population),Togo,TGO,2002,1.0,,,0
Individuals using the Internet (% of population),Togo,TGO,2001,0.9,,,0
Individuals using the Internet (% of population),Togo,TGO,2000,0.8,,,0
Individuals using the Internet (% of population),Togo,TGO,1999,0.590363264,,,0
Individuals using the Internet (% of population),Togo,TGO,1998,0.305583935,,,0
Individuals using the Internet (% of population),Togo,TGO,1997,0.211139465,,,0
Individuals using the Internet (% of population),Togo,TGO,1996,0.010929139,,,0
Individuals using the Internet (% of population),Togo,TGO,1995,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1994,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1993,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1992,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1991,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1990,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1989,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1988,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1987,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1986,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1985,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1984,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1983,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1982,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1981,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1980,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1979,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1978,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1977,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1976,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1975,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1974,,,,0
Individuals using the Internet (% of population),Togo,TGO,1973,,,,0
Individuals using the Internet (% of population),Togo,TGO,1972,,,,0
Individuals using the Internet (% of population),Togo,TGO,1971,,,,0
Individuals using the Internet (% of population),Togo,TGO,1970,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1969,,,,0
Individuals using the Internet (% of population),Togo,TGO,1968,,,,0
Individuals using the Internet (% of population),Togo,TGO,1967,,,,0
Individuals using the Internet (% of population),Togo,TGO,1966,,,,0
Individuals using the Internet (% of population),Togo,TGO,1965,0.0,,,0
Individuals using the Internet (% of population),Togo,TGO,1964,,,,0
Individuals using the Internet (% of population),Togo,TGO,1963,,,,0
Individuals using the Internet (% of population),Togo,TGO,1962,,,,0
Individuals using the Internet (% of population),Togo,TGO,1961,,,,0
Individuals using the Internet (% of population),Togo,TGO,1960,0.0,,,0
